#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.SemanticLegalMetadata|Concept


#Text=An undertaking's board of directors shall bear the ultimate responsibility for the undertaking's organisation and management of its affairs.
1-1	0-2	An	Actor:Agent[1]	
1-2	3-16	undertaking's	Actor:Agent[1]	
1-3	17-22	board	Actor:Agent[1]	
1-4	23-25	of	Actor:Agent[1]	
1-5	26-35	directors	Actor:Agent[1]	
1-6	36-41	shall	Modality	
1-7	42-46	bear	Situation[2]	
1-8	47-50	the	Situation[2]	
1-9	51-59	ultimate	Situation[2]	
1-10	60-74	responsibility	Situation[2]	
1-11	75-78	for	Situation[2]	
1-12	79-82	the	Situation[2]	
1-13	83-96	undertaking's	Situation[2]	
1-14	97-109	organisation	Situation[2]	
1-15	110-113	and	Situation[2]	
1-16	114-124	management	Situation[2]	
1-17	125-127	of	Situation[2]	
1-18	128-131	its	Situation[2]	
1-19	132-139	affairs	Situation[2]	
1-20	139-140	.	Situation[2]	

#Text=The nature of the board of directors' responsibility follows, inter alia, from the company law and business law legislation applied by the undertaking.
2-1	141-144	The	Situation[3]	
2-2	145-151	nature	Situation[3]	
2-3	152-154	of	Situation[3]	
2-4	155-158	the	Situation[3]	
2-5	159-164	board	Situation[3]	
2-6	165-167	of	Situation[3]	
2-7	168-177	directors	Situation[3]	
2-8	177-178	'	Situation[3]	
2-9	179-193	responsibility	Situation[3]	
2-10	194-201	follows	Situation[3]	
2-11	201-202	,	Situation[3]	
2-12	203-208	inter	Situation[3]	
2-13	209-213	alia	Situation[3]	
2-14	213-214	,	Situation[3]	
2-15	215-219	from	Situation[3]	
2-16	220-223	the	Situation[3]	
2-17	224-231	company	Situation[3]|Artifact[4]	
2-18	232-235	law	Situation[3]|Artifact[4]	
2-19	236-239	and	Situation[3]|Artifact[4]	
2-20	240-248	business	Situation[3]|Artifact[4]	
2-21	249-252	law	Situation[3]|Artifact[4]	
2-22	253-264	legislation	Situation[3]|Artifact[4]	
2-23	265-272	applied	Situation[3]	
2-24	273-275	by	Situation[3]	
2-25	276-279	the	Situation[3]	
2-26	280-291	undertaking	Situation[3]	
2-27	291-292	.	Situation[3]	

#Text=The board of directors should adopt a strategy and targets for the operations conducted by the undertaking.
3-1	294-297	The	Actor:Agent[5]	
3-2	298-303	board	Actor:Agent[5]	
3-3	304-306	of	Actor:Agent[5]	
3-4	307-316	directors	Actor:Agent[5]	
3-5	317-323	should	Modality	
3-6	324-329	adopt	Action[6]	
3-7	330-331	a	Action[6]	
3-8	332-340	strategy	Action[6]|Artifact[7]	
3-9	341-344	and	Action[6]|Artifact[7]	
3-10	345-352	targets	Action[6]|Artifact[7]	
3-11	353-356	for	Action[6]|Artifact[7]	
3-12	357-360	the	Action[6]|Artifact[7]	
3-13	361-371	operations	Action[6]|Artifact[7]	
3-14	372-381	conducted	Action[6]	
3-15	382-384	by	Action[6]	
3-16	385-388	the	Action[6]	
3-17	389-400	undertaking	Action[6]	
3-18	400-401	.	_	

#Text=The board of directors should also follow up compliance with these targets.
4-1	402-405	The	Actor:Agent[8]	
4-2	406-411	board	Actor:Agent[8]	
4-3	412-414	of	Actor:Agent[8]	
4-4	415-424	directors	Actor:Agent[8]	
4-5	425-431	should	Modality	
4-6	432-436	also	_	
4-7	437-443	follow	Action[9]	
4-8	444-446	up	Action[9]	
4-9	447-457	compliance	Action[9]|Artifact[10]	
4-10	458-462	with	Action[9]	
4-11	463-468	these	Action[9]	
4-12	469-476	targets	Action[9]	
4-13	476-477	.	_	

#Text=Material changes relating to the operations and organisation should be decided upon by the board of directors.
5-1	479-487	Material	Action[11]|Artifact[12]	
5-2	488-495	changes	Action[11]|Artifact[12]	
5-3	496-504	relating	Action[11]|Artifact[12]	
5-4	505-507	to	Action[11]|Artifact[12]	
5-5	508-511	the	Action[11]|Artifact[12]	
5-6	512-522	operations	Action[11]|Artifact[12]	
5-7	523-526	and	Action[11]|Artifact[12]	
5-8	527-539	organisation	Action[11]|Artifact[12]	
5-9	540-546	should	Action[11]	
5-10	547-549	be	Action[11]	
5-11	550-557	decided	Action[11]	
5-12	558-562	upon	_	
5-13	563-565	by	_	
5-14	566-569	the	Actor:Agent[13]	
5-15	570-575	board	Actor:Agent[13]	
5-16	576-578	of	Actor:Agent[13]	
5-17	579-588	directors	Actor:Agent[13]	
5-18	588-589	.	_	

#Text=An undertaking’s managing director shall handle the day-to-day management of the undertaking's affairs in accordance with the board of directors' guidelines and instructions.
6-1	591-593	An	Actor:Agent[14]	
6-2	594-605	undertaking	Actor:Agent[14]	
6-3	605-606	’	Actor:Agent[14]	
6-4	606-607	s	Actor:Agent[14]	
6-5	608-616	managing	Actor:Agent[14]	
6-6	617-625	director	Actor:Agent[14]	
6-7	626-631	shall	Modality	
6-8	632-638	handle	Action[15]	
6-9	639-642	the	Action[15]	
6-10	643-653	day-to-day	Action[15]|Artifact[16]	
6-11	654-664	management	Action[15]|Artifact[16]	
6-12	665-667	of	Action[15]|Artifact[16]	
6-13	668-671	the	Action[15]|Artifact[16]	
6-14	672-685	undertaking's	Action[15]|Artifact[16]	
6-15	686-693	affairs	Action[15]|Artifact[16]	
6-16	694-696	in	Action[15]|Constraint[17]	
6-17	697-707	accordance	Action[15]|Constraint[17]	
6-18	708-712	with	Action[15]|Constraint[17]	
6-19	713-716	the	Action[15]|Constraint[17]	
6-20	717-722	board	Action[15]|Constraint[17]	
6-21	723-725	of	Action[15]|Constraint[17]	
6-22	726-735	directors	Action[15]|Constraint[17]	
6-23	735-736	'	Action[15]|Constraint[17]	
6-24	737-747	guidelines	Action[15]|Constraint[17]|Artifact[18]	
6-25	748-751	and	Action[15]|Constraint[17]	
6-26	752-764	instructions	Action[15]|Constraint[17]|Artifact[19]	
6-27	764-765	.	Action[15]|Constraint[17]	

#Text=The managing director shall also take the measures required in order that: the undertaking's accounts are maintained in accordance with law; and the administration of funds is conducted in a secure manner.
7-1	766-769	The	Actor:Agent[20]	
7-2	770-778	managing	Actor:Agent[20]	
7-3	779-787	director	Actor:Agent[20]	
7-4	788-793	shall	Modality	
7-5	794-798	also	_	
7-6	799-803	take	Action[21]	
7-7	804-807	the	Action[21]|Artifact[22]	
7-8	808-816	measures	Action[21]|Artifact[22]	
7-9	817-825	required	Action[21]|Artifact[22]	
7-10	826-828	in	Action[21]	
7-11	829-834	order	Action[21]	
7-12	835-839	that	Action[21]	
7-13	839-840	:	Action[21]	
7-14	841-844	the	Action[21]|Situation:Result[23]|Actor:Target[24]	
7-15	845-858	undertaking's	Action[21]|Situation:Result[23]|Actor:Target[24]	
7-16	859-867	accounts	Action[21]|Situation:Result[23]|Actor:Target[24]	
7-17	868-871	are	Action[21]|Situation:Result[23]	
7-18	872-882	maintained	Action[21]|Situation:Result[23]	
7-19	883-885	in	Action[21]|Situation:Result[23]	
7-20	886-896	accordance	Action[21]|Situation:Result[23]	
7-21	897-901	with	Action[21]|Situation:Result[23]	
7-22	902-905	law	Action[21]|Situation:Result[23]	
7-23	905-906	;	Action[21]	
7-24	907-910	and	Action[21]	
7-25	911-914	the	Action[21]|Situation:Result[25]|Artifact[26]	
7-26	915-929	administration	Action[21]|Situation:Result[25]|Artifact[26]	
7-27	930-932	of	Action[21]|Situation:Result[25]|Artifact[26]	
7-28	933-938	funds	Action[21]|Situation:Result[25]|Artifact[26]	
7-29	939-941	is	Action[21]|Situation:Result[25]	
7-30	942-951	conducted	Action[21]|Situation:Result[25]	
7-31	952-954	in	Action[21]|Situation:Result[25]	
7-32	955-956	a	Action[21]|Situation:Result[25]	
7-33	957-963	secure	Action[21]|Situation:Result[25]	
7-34	964-970	manner	Action[21]|Situation:Result[25]	
7-35	970-971	.	Action[21]	

#Text=The nature of the managing director's responsibility follows, inter alia, from company law and business law legislation.
8-1	973-976	The	Situation[27]	
8-2	977-983	nature	Situation[27]	
8-3	984-986	of	Situation[27]	
8-4	987-990	the	Situation[27]	
8-5	991-999	managing	Situation[27]	
8-6	1000-1010	director's	Situation[27]	
8-7	1011-1025	responsibility	Situation[27]	
8-8	1026-1033	follows	Situation[27]	
8-9	1033-1034	,	Situation[27]	
8-10	1035-1040	inter	Situation[27]	
8-11	1041-1045	alia	Situation[27]	
8-12	1045-1046	,	Situation[27]	
8-13	1047-1051	from	Situation[27]	
8-14	1052-1059	company	Situation[27]|Artifact[28]	
8-15	1060-1063	law	Situation[27]|Artifact[28]	
8-16	1064-1067	and	Situation[27]|Artifact[28]	
8-17	1068-1076	business	Situation[27]|Artifact[28]	
8-18	1077-1080	law	Situation[27]|Artifact[28]	
8-19	1081-1092	legislation	Situation[27]|Artifact[28]	
8-20	1092-1093	.	Situation[27]	
