#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.SemanticLegalMetadata|Concept


#Text=In its application a firm shall provide information about the natural and legal persons holding a qualifying holding in the firm.
1-1	0-2	In	_	
1-2	3-6	its	_	
1-3	7-18	application	Artifact	
1-4	19-20	a	Actor:Agent[1]	
1-5	21-25	firm	Actor:Agent[1]	
1-6	26-31	shall	Modality	
1-7	32-39	provide	Action[2]	
1-8	40-51	information	Action[2]	
1-9	52-57	about	Action[2]	
1-10	58-61	the	Action[2]|Actor:Target[3]	
1-11	62-69	natural	Action[2]|Actor:Target[3]	
1-12	70-73	and	Action[2]|Actor:Target[3]	
1-13	74-79	legal	Action[2]|Actor:Target[3]	
1-14	80-87	persons	Action[2]|Actor:Target[3]	
1-15	88-95	holding	Action[2]	
1-16	96-97	a	Action[2]	
1-17	98-108	qualifying	Action[2]	
1-18	109-116	holding	Action[2]	
1-19	117-119	in	Action[2]	
1-20	120-123	the	Action[2]	
1-21	124-128	firm	Action[2]	
1-22	128-129	.	_	

#Text=The firm shall also append the information for ownership assessment provided for in Chapter 6, section 2.
2-1	131-134	The	Actor:Agent[4]	
2-2	135-139	firm	Actor:Agent[4]	
2-3	140-145	shall	Modality	
2-4	146-150	also	_	
2-5	151-157	append	Action[5]	
2-6	158-161	the	Action[5]	
2-7	162-173	information	Action[5]|Artifact[6]	
2-8	174-177	for	Action[5]|Artifact[6]	
2-9	178-187	ownership	Action[5]|Artifact[6]	
2-10	188-198	assessment	Action[5]|Artifact[6]	
2-11	199-207	provided	Action[5]	
2-12	208-211	for	Action[5]	
2-13	212-214	in	Action[5]	
2-14	215-222	Chapter	Action[5]|Reference[7]	
2-15	223-224	6	Action[5]|Reference[7]	
2-16	224-225	,	Action[5]|Reference[7]	
2-17	226-233	section	Action[5]|Reference[7]	
2-18	234-235	2	Action[5]|Reference[7]	
2-19	235-236	.	Action[5]	

#Text=Furthermore, the firm shall provide information about the natural or legal persons it has or is expected to have close relationships with in accordance with Chapter 1, section 5 of the Payment Services Act (2010:751).
3-1	238-249	Furthermore	_	
3-2	249-250	,	_	
3-3	251-254	the	Actor:Agent[8]	
3-4	255-259	firm	Actor:Agent[8]	
3-5	260-265	shall	Modality	
3-6	266-273	provide	Action[9]	
3-7	274-285	information	Action[9]	
3-8	286-291	about	Action[9]	
3-9	292-295	the	Action[9]|Actor:Target[10]	
3-10	296-303	natural	Action[9]|Actor:Target[10]	
3-11	304-306	or	Action[9]|Actor:Target[10]	
3-12	307-312	legal	Action[9]|Actor:Target[10]	
3-13	313-320	persons	Action[9]|Actor:Target[10]	
3-14	321-323	it	Action[9]	
3-15	324-327	has	Action[9]	
3-16	328-330	or	Action[9]	
3-17	331-333	is	Action[9]	
3-18	334-342	expected	Action[9]	
3-19	343-345	to	Action[9]	
3-20	346-350	have	Action[9]	
3-21	351-356	close	Action[9]	
3-22	357-370	relationships	Action[9]	
3-23	371-375	with	Action[9]	
3-24	376-378	in	Action[9]	
3-25	379-389	accordance	Action[9]	
3-26	390-394	with	Action[9]	
3-27	395-402	Chapter	Action[9]|Reference[11]	
3-28	403-404	1	Action[9]|Reference[11]	
3-29	404-405	,	Action[9]|Reference[11]	
3-30	406-413	section	Action[9]|Reference[11]	
3-31	414-415	5	Action[9]|Reference[11]	
3-32	416-418	of	Action[9]	
3-33	419-422	the	Action[9]	
3-34	423-430	Payment	Action[9]|Artifact[12]	
3-35	431-439	Services	Action[9]|Artifact[12]	
3-36	440-443	Act	Action[9]|Artifact[12]	
3-37	444-445	(	Action[9]|Artifact[12]	
3-38	445-449	2010	Action[9]|Artifact[12]	
3-39	449-450	:	Action[9]|Artifact[12]	
3-40	450-453	751	Action[9]|Artifact[12]	
3-41	453-454	)	Action[9]|Artifact[12]	
3-42	454-455	.	Action[9]	

#Text=If the firm is part of a group that includes other payment institutions, credit institutions, investment firms, fund management companies or insurance companies, it shall furnish the names and company registration numbers of these firms.
4-1	457-459	If	Constraint:Condition[13]	
4-2	460-463	the	Constraint:Condition[13]	
4-3	464-468	firm	Constraint:Condition[13]	
4-4	469-471	is	Constraint:Condition[13]	
4-5	472-476	part	Constraint:Condition[13]	
4-6	477-479	of	Constraint:Condition[13]	
4-7	480-481	a	Constraint:Condition[13]	
4-8	482-487	group	Constraint:Condition[13]	
4-9	488-492	that	Constraint:Condition[13]	
4-10	493-501	includes	Constraint:Condition[13]	
4-11	502-507	other	Constraint:Condition[13]	
4-12	508-515	payment	Constraint:Condition[13]	
4-13	516-528	institutions	Constraint:Condition[13]	
4-14	528-529	,	Constraint:Condition[13]	
4-15	530-536	credit	Constraint:Condition[13]	
4-16	537-549	institutions	Constraint:Condition[13]	
4-17	549-550	,	Constraint:Condition[13]	
4-18	551-561	investment	Constraint:Condition[13]	
4-19	562-567	firms	Constraint:Condition[13]	
4-20	567-568	,	Constraint:Condition[13]	
4-21	569-573	fund	Constraint:Condition[13]	
4-22	574-584	management	Constraint:Condition[13]	
4-23	585-594	companies	Constraint:Condition[13]	
4-24	595-597	or	Constraint:Condition[13]	
4-25	598-607	insurance	Constraint:Condition[13]	
4-26	608-617	companies	Constraint:Condition[13]	
4-27	617-618	,	_	
4-28	619-621	it	Actor:Agent	
4-29	622-627	shall	Modality	
4-30	628-635	furnish	Action[14]	
4-31	636-639	the	Action[14]	
4-32	640-645	names	Action[14]|Artifact[15]	
4-33	646-649	and	Action[14]|Artifact[15]	
4-34	650-657	company	Action[14]|Artifact[15]	
4-35	658-670	registration	Action[14]|Artifact[15]	
4-36	671-678	numbers	Action[14]|Artifact[15]	
4-37	679-681	of	Action[14]	
4-38	682-687	these	Action[14]|Actor:Target[16]	
4-39	688-693	firms	Action[14]|Actor:Target[16]	
4-40	693-694	.	_	
